"","venue_id","lat","lon","cat","top_cat","name","users","checkins","nom_qr","nom_arr"
"5444","4b3632d2f964a520003125e3",45.40987,-73.574936,"Park","Outdoors & Recreation","RAcrA-O-Parc",69,112,NA,NA
"5445","4b19af1af964a520f7e123e3",45.495598,-73.576645,"Burgers","Food","Chili Hamburgerbar",34,57,"René-Lévesque","Ville-Marie"
"5447","4d80542e7c956dcb7225de7b",45.510612,-73.567635,"Home","Residences","Joel's Place",3,25,"René-Lévesque","Ville-Marie"
"5448","4dadc18c43a18e54131d44f6",45.434185,-73.62539,"Post Office","Professional & Other Places","Canada Post \/ Postes Canada",6,7,"Cecil-P.-Newman","LaSalle"
"5449","4b637744f964a520f67b2ae3",45.509804,-73.82043,"Japanese","Food","Fuji Japanese Steak House & Sushi Bar",34,98,"Pierrefonds-Est","Pierrefonds-Roxboro"
"5452","4ad4c06df964a5209ffa20e3",45.5153,-73.5749,"Japanese","Food","Ginger",181,318,"Saint-Louis","Le Plateau-Mont-Royal"
"5454","4c4b645b959220a150d6800f",45.534496,-73.57832,"Department Store","Shops & Services","DApanneur Papineau",12,24,"Parc-Laurier","Le Plateau-Mont-Royal"
"5458","4ad4c069f964a520b7f820e3",45.51323,-73.55989,"Hotel","Travel & Transport","HA tel St-Denis",81,185,"René-Lévesque","Ville-Marie"
"5459","4d4ebbcfdeabf04d2266c524",45.507366,-73.57926,"Lab","Colleges & Universities","Ruths Research",2,5,"Montagne","Ville-Marie"
"5460","4b50bfe2f964a520b63027e3",45.507122,-73.56084,"Asian","Food","Restaurant Basilic",162,219,"René-Lévesque","Ville-Marie"
"5461","4d6c52dec8e38cfacfc5c52c",45.48567,-73.627335,"Farmer's Market","Shops & Services","Jaffa",13,96,"Snowdon","Côte-des-Neiges–Notre-Dame-de-Grâce"
"5462","4b60dcc0f964a52049fe29e3",45.517708,-73.5914,"Tapas","Food","Kazamaza",70,87,"Mile End","Le Plateau-Mont-Royal"
"5463","4d6e5d902427224b4c5acc4d",45.53587,-73.66508,"Italian","Food","Paradiso",2,4,"Nouveau-Bordeaux","Ahuntsic-Cartierville"
"5464","4bce3478c564ef3bd6e3edf0",45.493504,-73.638954,"Grocery Store","Shops & Services","IGA MarchA Ornawka",71,216,"Savane","Côte-des-Neiges–Notre-Dame-de-Grâce"
"5465","4ae367bbf964a5209d9421e3",45.500965,-73.572266,"Movie Theater","Arts & Entertainment","CinAma Banque Scotia",3484,9654,"René-Lévesque","Ville-Marie"
"5467","4ad4c06df964a5203ffa20e3",45.5226,-73.60174,"Greek","Food","Arahova",176,285,"Mile End","Le Plateau-Mont-Royal"
"5468","4c421a59af052d7fc36f7e79",45.511936,-73.561775,"Pub","Nightlife Spots","Pub du Faubourg",30,38,"René-Lévesque","Ville-Marie"
"5469","4d8f8c2a3bfef04dc129b186",45.46392,-73.83175,"Shoes","Shops & Services","Feet First",3,3,"Pointe-Claire",NA
"5471","4c74b5ba613f76b05997a12a",45.480865,-73.57896,"Diner","Food","Restaurant Green Spot",25,37,"Saint-Henri","Le Sud-Ouest"
"5472","4c7ff3fdd4e2370412425088",45.506344,-73.55387,"Antiques","Shops & Services","Indianica",11,12,"Vieux-Montréal","Ville-Marie"
"5473","4dbb2e7293a08f92749e0597",45.500443,-73.567024,"Automotive","Shops & Services","Budget",9,10,"René-Lévesque","Ville-Marie"
"5478","4c337da816adc928bdb6c39c",45.527893,-73.57926,"Apparel","Shops & Services","Neon",39,49,"Parc-Lafontaine","Le Plateau-Mont-Royal"
"5482","4c584fd3b7a31b8de23652da",45.504837,-73.563576,"Gastropub","Food","Miss PrAat A  Manger",57,366,"René-Lévesque","Ville-Marie"
"5483","4d0b63d9109d6dcb1fd08e8d",45.4948,-73.5805,"Grocery Store","Shops & Services","MarchA alMizan",19,47,"Montagne","Ville-Marie"
"5484","4dc35d7a887717c87fefa8e8",45.521336,-73.57471,"Home","Residences","Kod's Lair",1,30,"Parc-Lafontaine","Le Plateau-Mont-Royal"
"5485","4d6ea0aa32ab5941b1718ab9",45.476025,-73.60683,"Sushi","Food","Sushi YuMi",20,40,"Upper Lachine","Côte-des-Neiges–Notre-Dame-de-Grâce"
"5487","4b5a5e82f964a5208dc028e3",45.52346,-73.57632,"Gastropub","Food","Le Bungalow",65,121,"Parc-Lafontaine","Le Plateau-Mont-Royal"
"5488","4e28830f091a1ba18da88e40",45.498013,-73.57503,"Apparel","Shops & Services","Forever XXI",425,662,"René-Lévesque","Ville-Marie"
"5490","4c63251ede1b2d7faa11e470",45.538696,-73.57624,"Bus","Travel & Transport","BUS 27",23,132,"Lorimier","Le Plateau-Mont-Royal"
"5491","4b955168f964a5201a9c34e3",45.44564,-73.74186,"Thai","Food","ThaA  Express",85,372,"Dorval",NA
"5492","4c2e25283a4d0f472e0de586",45.523453,-73.59353,"Boutique","Shops & Services","Unicorn",58,248,"Mile End","Le Plateau-Mont-Royal"
"5493","4b2eb5cff964a52073e524e3",45.459835,-73.82391,"Indian","Food","Sahib",49,157,"Pointe-Claire",NA
"5494","4c3351007cc0c9b6938ff19a",45.572014,-73.58727,"Office Supplies","Shops & Services","Bureau En Gros",49,85,"Port-Maurice","Saint-Léonard"
"5495","4aea40f1f964a52087ba21e3",45.498756,-73.627625,"Vietnamese","Food","Pho Lien",259,589,"Parc-Kent","Côte-des-Neiges–Notre-Dame-de-Grâce"
"5496","4c8c177df0ce236ad51f15ef",45.44727,-73.573074,"Pharmacy","Shops & Services","Pharmaprix",19,71,"Desmarchais-Crawford","Verdun"
"5497","4c2be2652219c928635ca548",45.491493,-73.47883,"Apparel","Shops & Services","Winners",55,80,NA,NA
"5499","4c9aa70e292a6dcbfd02d176",45.515392,-73.565605,"B & B","Travel & Transport","Studio 335 MontrAal",6,567,"René-Lévesque","Ville-Marie"
"5500","4bf329916a31d13ae45e942e",45.528633,-73.57862,"Cocktail","Nightlife Spots","Candi Bar",674,988,"Parc-Laurier","Le Plateau-Mont-Royal"
"5502","4c3fadd7d7fad13a11ef04da",45.515156,-73.56349,"Sandwiches","Food","Sac Wich",34,47,"René-Lévesque","Ville-Marie"
"5503","4ad4c06bf964a52088f920e3",45.53889,-73.61745,"Snacks","Food","Sorbetto",43,84,"Parc-Jarry","Villeray–Saint-Michel–Parc-Extension"
"5505","4ad4c06ff964a5204dfb20e3",45.523407,-73.581696,"Toys & Games","Shops & Services","Le Valet d'Coeur",126,189,"Parc-Lafontaine","Le Plateau-Mont-Royal"
"5509","4bce2e26cc8cd13a20ebc3cf",45.4417,-73.44002,"Sushi","Food","Niji Sushi Bar",75,111,NA,NA
"5511","4c66c541e75ac9283366f8da",45.433598,-73.68054,"Government","Professional & Other Places","SociAtA de l'assurance automobile du QuAbec",7,9,"Vieux-Lachine - Saint-Pierre","Lachine"
"5512","4ba431bbf964a520d98a38e3",45.51511,-73.56547,"Gastropub","Food","Le PA lerin-Magellan",123,197,"René-Lévesque","Ville-Marie"
"5514","4b53460bf964a5203e9527e3",45.421745,-73.98452,"Park","Outdoors & Recreation","oka parc",48,66,NA,NA
"5515","4b69ddadf964a52009b92be3",45.597214,-73.56984,"Gym","Shops & Services","Anergie Cardio",19,119,"Anjou","Anjou"
"5516","4be97cce947820a1770db6db",45.46211,-73.62208,"Automotive","Shops & Services","Classy Car Wash",31,75,"Upper Lachine","Côte-des-Neiges–Notre-Dame-de-Grâce"
"5517","4ad4c069f964a520a4f820e3",45.500473,-73.56866,"Hotel","Travel & Transport","Fairmont The Queen Elizabeth",1417,2971,"René-Lévesque","Ville-Marie"
"5518","4ad4c06ff964a52026fb20e3",45.522636,-73.6018,"Bagels","Food","St-Viateur Bagel (La Maison du Bagel)",927,1423,"Mile End","Le Plateau-Mont-Royal"
"5522","4cc74124ee718cfa2178b03d",45.49757,-73.57957,"Administrative Building","Colleges & Universities","CUPFA",2,38,"René-Lévesque","Ville-Marie"
"5525","4de40ee7d164df857521b0a2",45.569996,-73.653244,"Dog Run","Outdoors & Recreation","Parc A  Chiens",10,30,"La Visitation","Ahuntsic-Cartierville"
"5526","4af9b34df964a520781322e3",45.495895,-73.57023,"Sculpture","Outdoors & Recreation","Statue de Maurice Richard #2",78,446,"René-Lévesque","Ville-Marie"
"5527","4bf01a1e3a002d7ffea985a4",45.76265,-73.434204,"High School","Professional & Other Places","Acole Jean-Baptiste-Meilleur",26,98,NA,NA
"5529","4c3faf2baf052d7f86c37a79",45.494022,-73.48107,"Wings","Food","Hooters of Montreal",244,465,NA,NA
"5530","4bb3f2a487aa9521ceb8acd1",45.515274,-73.56355,"Asian","Food","Lymai",42,44,"René-Lévesque","Ville-Marie"
"5533","4dc4078c45dd2645524bbcf7",45.46144,-73.820076,"Sporting Goods","Shops & Services","Baron Sports",11,23,"Pointe-Claire",NA
"5534","4b097b6af964a520fb1723e3",45.54894,-73.574066,"Video Store","Shops & Services","Le SuperClub VidAotron",38,160,"Vieux-Rosemont","Rosemont–La Petite-Patrie"
"5535","4e5d5d3ca8092f639683c918",45.521336,-73.57471,"Home","Residences","Ric's Plex",1,91,"Parc-Lafontaine","Le Plateau-Mont-Royal"
"5541","4ada7e26f964a520072321e3",45.50798,-73.57027,"Nightclub","Nightlife Spots","Vinyl",115,230,"René-Lévesque","Ville-Marie"
"5542","4cc9db68d54fa1cd230d3a29",45.444744,-73.743706,"Bookstore","Colleges & Universities","Coles",6,6,"Dorval",NA
"5544","4baa2c6cf964a5206c503ae3",45.488853,-73.58575,"Apparel","Shops & Services","Winners",197,395,"Westmount",NA
"5545","4ceaf814d99f721ec04abe73",45.503593,-73.57235,"Gift Shop","Shops & Services","Cartes Carlton",23,36,"René-Lévesque","Ville-Marie"
"5546","4b6df214f964a520fe9d2ce3",45.520573,-73.55457,"American","Food","Restaurant Le PlanA te Inc.",33,46,"Sainte-Marie","Ville-Marie"
"5547","4d8b74054196530c53a733f5",45.505005,-73.567764,"Tech Startup","Professional & Other Places","Webegy",3,14,"René-Lévesque","Ville-Marie"
"5550","4b17fb7ff964a520c9ca23e3",45.497166,-73.57742,"Brazilian","Food","Le Milsa",362,498,"René-Lévesque","Ville-Marie"
"5551","4ad4c06ff964a52060fb20e3",45.52517,-73.604095,"Apparel","Shops & Services","Arterie",9,12,"Mile End","Le Plateau-Mont-Royal"
"5552","4adc86a6f964a520e72c21e3",45.59513,-73.536316,"Sandwiches","Food","Subway",17,57,"Dupéré","Mercier–Hochelaga-Maisonneuve"
"5554","4c8e8e0dd80976b073ea8275",45.655075,-73.511345,"Gift Shop","Shops & Services","Tabagie Coin Bleu",6,20,"Pointe-aux-Trembles","Rivière-des-Prairies–Pointe-aux-Trembles"
"5555","4dd417bafa7645a53c90e439",45.515926,-73.50654,"Convention Center","Professional & Other Places","Place Desaulniers",18,32,NA,NA
"5556","4ce46b05f5f9236a8d648561",45.432335,-73.627106,"Home","Residences","Chez Roy",4,75,"Cecil-P.-Newman","LaSalle"
"5558","4e487be762845e1d3cad7ebc",45.54624,-73.5466,"Home","Residences","Place Jeanne d'arc III",1,27,"Préfontaine","Mercier–Hochelaga-Maisonneuve"
"5560","4c1770ff368220a118553657",45.44806,-73.61505,"Coffee Shop","Food","Tim Hortons",46,87,"Cecil-P.-Newman","LaSalle"
"5563","4ada4e2cf964a5202a2121e3",45.506092,-73.56602,"Diner","Food","Niks",25,50,"René-Lévesque","Ville-Marie"
"5564","4bc3684674a9a593e180d4f6",45.494286,-73.57822,"Thai","Food","Cuisine Bangkok",175,364,"Montagne","Ville-Marie"
"5565","4b5393dbf964a52017a327e3",45.462124,-73.63201,"Pizza","Food","Mama Rosa",13,37,"Loyola","Côte-des-Neiges–Notre-Dame-de-Grâce"
"5566","4de074f91f6ece64737c1c8d",45.489815,-73.60767,"Beer Garden","Nightlife Spots","Smirnov House Of Booze",4,7,"Westmount",NA
"5567","4b32a0d2f964a520631025e3",45.475727,-73.622826,"Winery","Food","SAQ",59,310,"Côte-Saint-Antoine","Côte-des-Neiges–Notre-Dame-de-Grâce"
"5569","4e1a9358aeb7eb0120dfa8b5",45.429283,-73.668396,"Event Space","Professional & Other Places","The Ultimate Playground, Club BRP 2011",2,2,"Vieux-Lachine - Saint-Pierre","Lachine"
"5570","4bab597df964a52068a23ae3",45.57147,-73.603485,"Coffee Shop","Food","Tim Hortons",89,170,"Sainte-Lucie","Villeray–Saint-Michel–Parc-Extension"
"5571","4cbb19c290c9a143c2c692d6",45.46973,-73.61849,"Home","Residences","Casa Luciani",1,3,"Côte-Saint-Antoine","Côte-des-Neiges–Notre-Dame-de-Grâce"
"5572","4bec315fa9900f47d1b11840",45.480854,-73.57848,"Butcher","Shops & Services","Boucherie Notre-Dame",11,18,"Saint-Henri","Le Sud-Ouest"
"5573","4d77fb2fd05160fcb5d475ca",45.505825,-73.56704,"Art Gallery","Arts & Entertainment","Skol",6,18,"René-Lévesque","Ville-Marie"
"5576","4dcebe017d8b975f18d661ea",45.495953,-73.75184,"Shoes","Shops & Services","ISECO",1,5,"Bois-Francs","Saint-Laurent"
"5577","4dcbcd452271f5e21d7df64e",45.5414,-73.61945,"Bike","Travel & Transport","Station BIXI",5,15,"Crémazie","Villeray–Saint-Michel–Parc-Extension"
"5578","4e039d172271233b767a994e",45.505634,-73.56407,"Cocktail","Nightlife Spots","Le Boulevard Bistro",46,55,"René-Lévesque","Ville-Marie"
"5580","4b9ac5a1f964a5202cd435e3",45.592003,-73.66966,"Pharmacy","Shops & Services","Pharmacie Jean Coutu",27,55,NA,NA
"5581","4d3f0d8b8edf37046b1fcaa5",45.50002,-73.57501,"Women's Store","Shops & Services","Editorial",48,123,"René-Lévesque","Ville-Marie"
"5583","4c14f5f0a1010f478b294d18",45.49512,-73.5637,"Gym","Shops & Services","Centre sportif ATS",47,361,"Vieux-Montréal","Ville-Marie"
"5586","4b29abe7f964a52064a224e3",45.489285,-73.58546,"Subway","Travel & Transport","STM Station Atwater",375,1580,"Westmount",NA
"5587","4b9a2a6ef964a52040a235e3",45.505985,-73.539,"Bridge","Outdoors & Recreation","Pont de la Concorde",31,98,NA,NA
"5588","4b291711f964a5207b9824e3",45.49693,-73.62125,"Portuguese","Food","Restaurant Mavi",29,42,"Édouard-Montpetit","Côte-des-Neiges–Notre-Dame-de-Grâce"
"5590","4bf1e6653fa220a145df1820",45.55128,-73.675964,"Dog Run","Outdoors & Recreation","Parc Nicolas-Viel",35,83,"Nicolas-Viel","Ahuntsic-Cartierville"
"5592","4b0dfb29f964a520785323e3",45.50506,-73.56832,"Church","Professional & Other Places","Aglise Unie Saint-James \/ St James United Church",94,134,"René-Lévesque","Ville-Marie"
"5593","4b11cc90f964a520e18423e3",45.53284,-73.614136,"Pizza","Food","Ristorante Pomodoro",100,130,"Saint-Édouard","Rosemont–La Petite-Patrie"
"5595","4c87abd851ada1cd07d34910",45.463783,-73.59475,"Design","Shops & Services","Ovrgrnd",13,244,"Côte-Saint-Paul","Le Sud-Ouest"
"5596","4b19d2c6f964a520dfe423e3",45.526855,-73.580215,"Italian","Food","Restaurant Misto",369,757,"Parc-Lafontaine","Le Plateau-Mont-Royal"
"5597","4ad4c06cf964a52015fa20e3",45.526405,-73.594795,"Art Gallery","Arts & Entertainment","Centre d'Art et de Diffusion Clark",16,25,"Mile End","Le Plateau-Mont-Royal"
"5599","4d6ec2cc6ecfa35d38796cd1",45.503883,-73.57102,"Greek","Food","Kojax (Espace Resto)",16,45,"René-Lévesque","Ville-Marie"
"5600","4bf2c0401cd9d13ab601ee76",45.495903,-73.58034,"Sandwiches","Food","Subway",84,141,"Montagne","Ville-Marie"
"5601","4b9ac44ef964a520aad335e3",45.591644,-73.66993,"Falafel","Food","Amir Duvernay",11,16,NA,NA
"5602","4ccef11c511b236a02b5ffc9",45.42987,-73.648094,"High School","Professional & Other Places","The Servant's House Christian Academy",5,211,"Cecil-P.-Newman","LaSalle"
"5606","4bbfbe5a74a9a593c508cff6",45.463757,-73.62865,"Medical","Professional & Other Places","Concordia Physio Sport",34,84,"Upper Lachine","Côte-des-Neiges–Notre-Dame-de-Grâce"
"5607","4cc70ea338aaa093cfe52162",45.504623,-73.570076,"Food Court","Shops & Services","Aramark CafA",2,12,"René-Lévesque","Ville-Marie"
"5608","4c9e0f8f8afca09318b3fc15",45.479206,-73.57658,"Cheese Shop","Shops & Services","Fromagerie Atwater",105,273,"Saint-Henri","Le Sud-Ouest"
"5609","4e1376bf6284edb6bae99be0",45.497215,-73.554794,"Tech Startup","Professional & Other Places","Ergonet \/ Sid Lee Technologies",22,337,"Vieux-Montréal","Ville-Marie"
"5611","4ca0c94d0e9bb1f78b71fb5f",45.48216,-73.55136,"Automotive","Shops & Services","Groupe Gravel",3,7,"Pointe-Saint-Charles","Le Sud-Ouest"
"5613","4d0b01deaef4594107e7496b",45.539635,-73.588196,"Music Venue","Arts & Entertainment","Marsonic",22,498,"Louis-Hébert","Rosemont–La Petite-Patrie"
"5614","4b4a6b14f964a520f98626e3",45.65671,-73.42181,"Fast Food","Food","McDonald's",38,130,NA,NA
