venue_id,lat,lon,cat,top_cat,name,users,checkins
4ca87e3844a8224bedf11740,45.44077,-73.578125,Park,Outdoors & Recreation,Parc Honorable George O'Reilly,38,49
4e499abfb0fb37342ee52c24,45.5278,-73.57722,Gas Station ' Garage,,Alex Berthiaume & Fils,13,23
4ad4c06cf964a52012fa20e3,45.507133,-73.55319,Art Gallery,Arts & Entertainment,Galerie St.Dizier,2,2
4ba28c75f964a520270338e3,45.502758,-73.56991,Bar,Nightlife Spots,Piranha Bar,120,175
4b63a918f964a5206c8a2ae3,45.521336,-73.575325,Greek,Food,La Maison Grecque,104,121
4c2fc4df3896e21e8e90e490,45.60545,-73.62887,uncategorized,,Parc Saint Laurent,9,9
4ad4c06bf964a5208ef920e3,45.518272,-73.55645,Gay Bar,Nightlife Spots,Club Unity,416,904
4bd7ac220b779c74afc905a0,45.502197,-73.57192,Men's Store,Shops & Services,Jack & Jones,102,216
4bce0d89fb84c9b63f1c233e,45.44481,-73.47253,Automotive,Shops & Services,Brossard Mazda,7,9
4e15a72d62e1c2c0192de212,45.501656,-73.68095,Mall,Shops & Services,St. Louis Shopping Centre,14,113
4bd22df641b9ef3b3d8dfde5,45.48972,-73.5844,Sports Bar,Nightlife Spots,Forum Sports Bar,118,187
4d023acab82d721ea1587734,45.54899,-73.59151,Breakfast ' Brunch,,La Grand-MA re Poule,236,435
4df2a1c118386ecb4e2d9c9d,45.516792,-73.56132,Hotel,Travel & Transport,Hotel Bon Accueil,5,9
4b1f0b14f964a520412324e3,45.526665,-73.58073,Corporate ' Office,,Adviso - stratAgie Web strategy,109,4641
4b328903f964a520020e25e3,45.46328,-73.832245,CafA,,Java U,75,170
4e242bd588774a43b784893d,45.703823,-73.62845,Home,Residences,Dans Ma Cuisine,2,256
4d55e1b9b4deb1f7cdf5097a,45.47319,-73.57631,Home,Residences,Kimmie,1,1
4ad4c06df964a52040fa20e3,45.500557,-73.56814,French,Food,Restaurant Beaver Club,61,85
4bdb872263c5c9b6428a2868,45.692776,-73.63951,Music Venue,Arts & Entertainment,Salle du Moulinet,7,8
4b2c4f22f964a520a3c524e3,45.4946,-73.57684,Hookah Bar,Nightlife Spots,Arabesque,57,112
4b4734e6f964a520d62c26e3,45.478935,-73.57651,Bakery,Food,PremiA re Moisson,245,552
4ba2ba99f964a520251438e3,45.503967,-73.570564,Apparel,Shops & Services,Bedo,27,28
4b0c214bf964a520753723e3,45.50437,-73.56842,Sushi,Food,Zen Ya,289,447
4b3814dff964a520614b25e3,45.495735,-73.62062,Bakery,Food,PremiA re Moisson,166,290
4ce8ac948ef78cfaa4689c9b,45.507023,-73.55286,Bar,Nightlife Spots,OP Bar Old Port,14,24
4b0c3b20f964a520533923e3,45.57421,-73.69654,Grocery Store,Shops & Services,Super C,37,123
4da7264b0cb66f6587145c94,45.50095,-73.564476,Korean,Food,Bulgogi,9,26
4bec85e1976ac9281527610b,45.49649,-73.57458,Hotel,Travel & Transport,Quality Inn,115,201
4bf6ca8a4a67c928f66922cf,45.498238,-73.5779,Design,Shops & Services,Alessi,22,34
4c6f04fedf6b8cfad7f0b34d,45.44363,-73.64826,Gas Station ' Garage,,Ultramar,38,77
4bc3352babf49521a664c393,45.496452,-73.58089,Doctor's Office,Professional & Other Places,Rue Guy Medical Clinic,20,25
4baa47d3f964a520b25a3ae3,45.441624,-73.88981,Asian,Food,ThaA  Express,46,66
4b369688f964a520943825e3,45.515827,-73.57668,Spa ' Massage,,Studio Bliss,73,280
4c222ef37e85c9284e92bb21,45.46275,-73.571304,Gastropub,Food,Chez Anas,24,35
4baad458f964a52013893ae3,45.503887,-73.57122,Coffee Shop,Food,Starbucks,412,919
4b9bf631f964a520ed3a36e3,45.446373,-73.61455,Sporting Goods,Shops & Services,Sports Experts + Atmosphere,97,149
4d66e2e6a88a6ea88264dd72,45.534637,-73.61769,Salon ' Barbershop,,Spa Aurora Studio C,4,12
4dd8526345ddced8209df91b,45.498806,-73.57224,Ramen ' Noodles,,Hakata Ramen,160,280
4b7179a8f964a52096482de3,45.501804,-73.56397,Coworking Space,Professional & Other Places,Raymond Chabot Grant Thornton,37,341
4d6854a169385941faaea812,45.523144,-73.56512,Hostel,Travel & Transport,Le gAte du Parc Lafontaine,5,20
4b6af876f964a520a8e92be3,45.51342,-73.56189,Performing Arts,Arts & Entertainment,Centre Pierre-PAladeau (UQAM),77,137
4d2db4b788e23704cf413cc7,45.55043,-73.62413,High School,Professional & Other Places,salle des profs 3ieme,1,24
4b906e13f964a520ef8933e3,45.454926,-73.85978,Italian,Food,Mundo Trattoria Restaurant,40,78
4c51f98b048b1b8d2383cf2f,45.531834,-73.58039,uncategorized,,Caisses,3,3
4b60fcbff964a520cb042ae3,45.702644,-73.508835,Bridge,Outdoors & Recreation,Pont Charles-De Gaulle,139,830
4ba42a06f964a5201a8838e3,45.53979,-73.63402,Other - Food,,Braseiro,78,118
4b4e744af964a52054ee26e3,45.517647,-73.57877,uncategorized,,Cash and Cari,17,26
4bfefb1dca1920a10b28ec81,45.534515,-73.582466,Vegetarian ' Vegan,,Le Sain Bol,35,106
4cd088fb6200b1f7edd6d428,45.47434,-73.5406,Road,Travel & Transport,Traffic technoparc,9,79
4dcb26677d8b84bcd54e8a41,45.52147,-73.577484,Italian,Food,Moutons Noirs,63,122
4da9cf814b22f071eaa88f56,45.48006,-73.58145,Video Store,Shops & Services,Le Super Club Videotron,10,24
4bef4e5bc80dc928e6cf27e3,45.526554,-73.766945,Greek,Food,Restaurant Tripolis,33,46
4bb2d39414cfd13aad7815ab,45.438828,-73.62309,Steakhouse,Food,Griglia D'oro,20,26
4afc01f2f964a520781f22e3,45.497066,-73.58942,Hospital,Professional & Other Places,HA pital GAnAral de MontrAal,401,1914
4bcb3be6937ca5931818a992,45.526783,-73.61171,Home,Residences,Qiou's Pokecenter,4,118
4de4440ed4c07044059821ef,45.477642,-73.60481,uncategorized,,Want Apothecary,24,30
4ce6bf050f196dcb569539ae,45.505077,-73.57249,Coffee Shop,Food,CafA DApA t,18,26
4e0a1f846284d9ee92e7e4a3,45.50084,-73.57475,Jewelry,Shops & Services,Pandora,33,50
4bfe66c78992a593b06dadb0,45.542515,-73.571594,Police Station,Professional & Other Places,Spvm bureau de taxi SAAQ,58,71
4e29f81ed22d3f83c87f050a,45.442234,-73.889885,uncategorized,,Middle of nowhere,2,2
4ad4c06ef964a5200efb20e3,45.536438,-73.60307,Other - Buildings,,Plaza Theater,34,62
4cccb1d5ba0a54810b1b3f59,45.52341,-73.58736,Greek,Food,Jardin de Puis,20,22
4d3df8873ec9a35d43115681,45.45373,-73.75925,Golf Course,Outdoors & Recreation,Golf Dorval (municipal),6,8
4e20aa811f6effe84f692a39,45.60337,-73.61687,Bus,Travel & Transport,Bus 32 #55256,3,5
4bb3c8fd35f0c9b678e2bc83,45.506947,-73.55089,Other - Food,,Scena,217,488
4b37971cf964a520a74225e3,45.547714,-73.59259,Bakery,Food,De Froment et de SA ve,142,681
4bba1dba3db7b713b2ea229a,45.50204,-73.57026,Shoes,Shops & Services,Geox,27,38
4d13e2fe8312236a7dcd45ba,45.522305,-73.56967,uncategorized,,Umami,4,10
